Model,Augmentations_used,Trial,mse_Dipole_moment,mae_Dipole_moment,r2_Dipole_moment,mse_Isotropic_polarizability,mae_Isotropic_polarizability,r2_Isotropic_polarizability,mse_Highest_occupied_molecular_orbital_energy,mae_Highest_occupied_molecular_orbital_energy,r2_Highest_occupied_molecular_orbital_energy,mse_Lowest_unoccupied_molecular_orbital_energy,mae_Lowest_unoccupied_molecular_orbital_energy,r2_Lowest_unoccupied_molecular_orbital_energy,mse_Gap_between_previous_2,mae_Gap_between_previous_2,r2_Gap_between_previous_2,mse_Electronic_spatial_extent,mae_Electronic_spatial_extent,r2_Electronic_spatial_extent,mse_Zero_point_vibrational_energy,mae_Zero_point_vibrational_energy,r2_Zero_point_vibrational_energy,mse_Internal_energy_at_0K,mae_Internal_energy_at_0K,r2_Internal_energy_at_0K,mse_Internal_energy_at_298.15K,mae_Internal_energy_at_298.15K,r2_Internal_energy_at_298.15K,mse_Enthalpy_at_298.15K,mae_Enthalpy_at_298.15K,r2_Enthalpy_at_298.15K,mse_Free_energy_at_298.15K,mae_Free_energy_at_298.15K,r2_Free_energy_at_298.15K,mse_Heat_capacity_at_298.15K,mae_Heat_capacity_at_298.15K,r2_Heat_capacity_at_298.15K,mse_Atomization_energy_at_0K,mae_Atomization_energy_at_0K,r2_Atomization_energy_at_0K,mse_Atomization_energy_at_298.15K,mae_Atomization_energy_at_298.15K,r2_Atomization_energy_at_298.15K,mse_Atomization_enthalpy_at_298.15K,mae_Atomization_enthalpy_at_298.15K,r2_Atomization_enthalpy_at_298.15K,mse_Atomization_free_energy_at_298.15K,mae_Atomization_free_energy_at_298.15K,r2_Atomization_free_energy_at_298.15K,mse_Rotational_constant_A,mae_Rotational_constant_A,r2_Rotational_constant_A,mse_Rotational_constant_B,mae_Rotational_constant_B,r2_Rotational_constant_B,mse_Rotational_constant_C,mae_Rotational_constant_C,r2_Rotational_constant_C
GCL_VicReg,34,1,1.7480291,1.0923773,-6.4433527,154.61443,10.115709,-7.045924,0.52449584,0.5343407,-317.64563,1.4629909,1.0165491,-3.6701236,1.4729053,1.0038142,-3.6903105,110241.79,278.78394,-19.764149,0.7115744,0.65914524,-0.7987946,3087855.8,1398.7997,-8.044657,3087815.2,1398.7654,-8.044929,3087785.0,1398.7775,-8.044571,3088019.5,1398.8203,-8.045279,28.41038,4.0359087,-6.6269007,160.21272,9.999694,-2.2502658,162.51628,10.072467,-2.2359927,164.55449,10.134729,-2.2296271,136.42598,9.228734,-2.2567127,10.920869,1.7792338,-262.6686,3.6235383,0.6218385,-407.37567,3.2659476,0.45356345,-1126.8916
GCL_VicReg,34,2,1.842274,1.1163554,-10.047903,157.90718,10.196937,-7.728536,0.5218572,0.5357018,-91.42199,1.481966,1.0093449,-5.2928405,1.4894686,0.99921167,-5.340583,108792.46,277.53815,-11.885027,0.7739913,0.69764555,-1.3226482,3141351.0,1411.3314,-10.015973,3141272.8,1411.3153,-10.015913,3141281.8,1411.3157,-10.017153,3141499.2,1411.3601,-10.017196,27.899796,4.091209,-5.0496926,168.22668,10.341764,-3.1226304,170.71597,10.418296,-3.1099524,172.86238,10.483037,-3.102253,143.27385,9.547737,-3.1326547,10.926139,1.7913365,-283.01102,3.6160922,0.6144069,-380.18625,3.2568967,0.45098177,-788.974
GCL_VicReg,34,3,1.7958634,1.0622591,-2.041101,144.82178,9.889871,-5.671826,0.5329835,0.55148906,-19.193737,1.3378599,0.9658092,-1.0800025,1.5808923,1.0556405,-1.4324661,109172.516,280.6692,-26.580454,0.5889851,0.6194348,-0.20760709,3192481.0,1415.2781,-5.102431,3191216.0,1415.1182,-5.1282563,3192167.2,1415.2335,-5.107182,3191977.0,1415.2277,-5.1170683,27.177729,3.9990697,-6.186287,142.81065,9.653205,-1.5311399,144.77724,9.720973,-1.513132,146.56308,9.7806225,-1.5089412,121.83639,8.914121,-1.5559069,11.609741,1.8781025,-44.216,3.6844332,0.63973635,-128.99231,3.3240826,0.47476083,-151.70619
GCL_VicReg,34,4,1.7758836,1.0966953,-13.596787,159.68648,10.395766,-15.270528,0.5086925,0.53344524,-22.420986,1.5527264,1.0370969,-12.922117,1.7164131,1.0869566,-13.113556,106201.54,278.16058,-14.95041,0.8333059,0.73039967,-4.6826706,3062594.5,1392.0273,-13.8888,3062408.0,1392.0527,-13.973123,3062431.0,1392.0433,-13.95437,3062653.0,1392.0846,-13.948404,28.865679,4.1260347,-11.863843,177.79965,10.787212,-8.769051,180.37569,10.866714,-8.724475,182.66158,10.935377,-8.712795,151.08081,9.942422,-8.656444,10.871802,1.7610308,-199.69589,3.5911562,0.6167142,-762.74426,3.2318215,0.45043123,-598.371
GCL_VicReg,34,5,1.7314434,1.0749755,-9.027038,152.06236,10.040261,-6.7931967,0.5147338,0.529356,-29.989508,1.4182065,0.98421025,-4.2762613,1.5795255,1.0339324,-8.358593,108137.43,278.6825,-16.62597,0.72420835,0.68330175,-1.391582,3067995.2,1405.668,-9.077641,3067910.5,1405.65,-9.078306,3067889.5,1405.6285,-9.094062,3068120.0,1405.6776,-9.09201,27.060331,3.9760756,-4.67114,160.69066,10.050099,-3.158836,163.03178,10.12439,-3.144773,165.0788,10.187428,-3.1382458,136.85925,9.2730255,-3.151436,11.031572,1.7837073,-107.882126,3.6300201,0.62061334,-228.232,3.267409,0.45552096,-519.07367
GCL_VicReg,34,6,1.8369384,1.1195446,-15.050277,164.50029,10.414749,-18.663862,0.5096935,0.5329395,-37.893036,1.6396154,1.0583835,-6.7860103,1.7041613,1.071522,-8.195783,113485.9,283.77667,-22.160254,0.9371424,0.7716845,-4.075048,3145065.5,1414.2103,-14.840549,3144985.8,1414.1943,-14.838794,3144988.8,1414.196,-14.854327,3145204.8,1414.2396,-14.859211,31.307375,4.320416,-8.866483,187.93604,10.933786,-8.189087,190.74466,11.016575,-8.155626,193.20755,11.087202,-8.136794,159.86517,10.083374,-8.241317,10.956324,1.787716,-199.93156,3.673569,0.63904536,-70.28028,3.2859278,0.46881118,-141.15384
GCL_VicReg,34,7,1.732625,1.0629253,-4.9218783,149.80531,9.896015,-5.4088736,0.51672244,0.5305529,-52.31558,1.2699436,0.9475312,-1.6448153,1.4313813,1.0086951,-2.9482617,109369.836,278.21,-18.006979,0.6483213,0.6311949,-0.40345713,3045427.8,1402.2361,-6.754475,3045336.8,1402.2191,-6.754378,3045265.8,1402.2095,-6.7572412,3045566.5,1402.2634,-6.7551694,28.06124,4.0333667,-5.578534,152.74023,9.710098,-1.7470887,154.8934,9.779949,-1.7324733,156.82596,9.8406515,-1.7273911,130.11447,8.960056,-1.762362,10.92282,1.76797,-289.66208,3.6013677,0.6167143,-887.2052,3.248896,0.4499422,-1145.6212
GCL_VicReg,34,8,1.9797822,1.1424966,-2.6280653,156.95369,10.122681,-6.4417872,0.52621835,0.5362337,-42.030827,1.8972336,1.1378801,-1.2882253,2.0421488,1.1728096,-1.0258462,107986.64,275.3273,-7.13999,0.8377758,0.72833127,-0.5895972,3160391.0,1410.9675,-7.94418,3160691.2,1411.0134,-7.9312177,3159742.8,1410.8624,-7.9634323,3160045.2,1410.9161,-7.9608073,27.767162,4.0753284,-4.4510865,170.59851,10.356881,-1.8634504,173.1675,10.434155,-1.8521683,175.38097,10.499857,-1.8455747,145.13771,9.556326,-1.8810761,11.068747,1.7971872,-383.0959,3.6218855,0.6150299,-189.882,3.262005,0.4489624,-599.3668
GCL_VicReg,34,9,1.7993996,1.0958211,-8.148223,154.61884,10.07868,-7.358781,0.5200938,0.5354769,-53.59409,1.5262717,1.0318341,-3.4435942,1.5602982,1.0246638,-3.2832458,110422.836,279.74567,-16.706966,0.77182984,0.7043538,-1.1501347,3081340.5,1405.4077,-7.951944,3081060.5,1405.3876,-7.969421,3081298.2,1405.3923,-7.9480734,3081395.0,1405.4333,-7.96004,28.965286,4.13992,-4.965735,166.06085,10.301057,-2.8467817,168.42662,10.37537,-2.8338366,170.60538,10.441685,-2.8264046,141.22751,9.499547,-2.8576066,11.211716,1.8130906,-111.93749,3.6230767,0.62238866,-535.6099,3.2587051,0.453241,-1137.4941
GCL_VicReg,34,10,1.846508,1.1028647,-6.5456505,156.64928,10.219132,-7.1779127,0.531798,0.537695,-83.18238,1.6184797,1.0613168,-5.0979657,1.7719853,1.1065308,-5.847222,113016.22,284.34534,-41.813713,1.0213834,0.8034248,-2.3826356,3094753.0,1398.3851,-8.186583,3094884.2,1398.3916,-8.183455,3094853.0,1398.389,-8.183927,3094994.5,1398.4261,-8.185702,33.688316,4.487377,-5.8217463,185.76393,10.787557,-3.6383727,188.61523,10.870122,-3.6220584,191.13895,10.942145,-3.6183186,157.28421,9.9272995,-3.6086097,11.039551,1.8153981,-64.430275,3.6026242,0.62150794,-612.4281,3.2491157,0.4529657,-1625.4534
